image_id,pack_name,image_path,true_label,ai_top1,ai_score_top1,ai_top2,ai_score_top2,ai_top3,ai_score_top3,all_scores_json,options_json,difficulty,approved,notes
animals_aashish-chandra-r6kimoDLdJA-unsplash,animals,data/packs/animals/images/aashish-chandra-r6kimoDLdJA-unsplash.jpg,cat,cat,0.9357524608301185,fox,0.0588201948806291,dog,0.002194327763623209,"{""cat"": {""text"": ""cat"", ""raw_score"": -4.073197364807129, ""probability"": 0.9357524608301185}, ""fox"": {""text"": ""fox"", ""raw_score"": -6.840063095092773, ""probability"": 0.0588201948806291}, ""dog"": {""text"": ""dog"", ""raw_score"": -10.12867259979248, ""probability"": 0.002194327763623209}, ""bear"": {""text"": ""bear"", ""raw_score"": -10.590507507324219, ""probability"": 0.0013827037673731076}, ""raccoon"": {""text"": ""raccoon"", ""raw_score"": -10.822412490844727, ""probability"": 0.0010965137739489892}, ""wolf"": {""text"": ""wolf"", ""raw_score"": -11.19717788696289, ""probability"": 0.0007537989843070683}}","[""bear"", ""fox"", ""dog"", ""cat""]",easy,TRUE,
animals_aldo-houtkamp-Hn1iiW0docQ-unsplash,animals,data/packs/animals/images/aldo-houtkamp-Hn1iiW0docQ-unsplash.jpg,dog,dog,0.5243035079713209,wolf,0.4551410862712238,fox,0.008595694205963888,"{""dog"": {""text"": ""dog"", ""raw_score"": -5.013069152832031, ""probability"": 0.5243035079713209}, ""wolf"": {""text"": ""wolf"", ""raw_score"": -5.154532432556152, ""probability"": 0.4551410862712238}, ""fox"": {""text"": ""fox"", ""raw_score"": -9.123878479003906, ""probability"": 0.008595694205963888}, ""bear"": {""text"": ""bear"", ""raw_score"": -9.723921775817871, ""probability"": 0.0047172127558343215}, ""raccoon"": {""text"": ""raccoon"", ""raw_score"": -9.81434440612793, ""probability"": 0.0043093861829798415}, ""cat"": {""text"": ""cat"", ""raw_score"": -10.199075698852539, ""probability"": 0.0029331126126772985}}","[""cat"", ""dog"", ""fox"", ""wolf""]",hard,TRUE,
animals_animals_001,animals,data/packs/animals/images/animals_001.jpg,dog,dog,0.5450501561733007,wolf,0.3398845159199612,fox,0.05335430719377728,"{""dog"": {""text"": ""dog"", ""raw_score"": -5.351075172424316, ""probability"": 0.5450501561733007}, ""wolf"": {""text"": ""wolf"", ""raw_score"": -5.823347091674805, ""probability"": 0.3398845159199612}, ""fox"": {""text"": ""fox"", ""raw_score"": -7.6749982833862305, ""probability"": 0.05335430719377728}, ""bear"": {""text"": ""bear"", ""raw_score"": -8.187231063842773, ""probability"": 0.031967569273101265}, ""raccoon"": {""text"": ""raccoon"", ""raw_score"": -8.577187538146973, ""probability"": 0.02164480462202856}, ""cat"": {""text"": ""cat"", ""raw_score"": -9.560256004333496, ""probability"": 0.008098646817831127}}","[""wolf"", ""fox"", ""dog"", ""bear""]",medium,TRUE,
animals_animals_002,animals,data/packs/animals/images/animals_002.jpg,raccoon,raccoon,0.6269669574940923,wolf,0.22834515569981464,fox,0.08963127979022611,"{""raccoon"": {""text"": ""raccoon"", ""raw_score"": -3.413874626159668, ""probability"": 0.6269669574940923}, ""wolf"": {""text"": ""wolf"", ""raw_score"": -4.423910140991211, ""probability"": 0.22834515569981464}, ""fox"": {""text"": ""fox"", ""raw_score"": -5.359064102172852, ""probability"": 0.08963127979022611}, ""cat"": {""text"": ""cat"", ""raw_score"": -6.475532531738281, ""probability"": 0.029348338485420535}, ""bear"": {""text"": ""bear"", ""raw_score"": -6.852146148681641, ""probability"": 0.020138276695149206}, ""dog"": {""text"": ""dog"", ""raw_score"": -8.137374877929688, ""probability"": 0.005569991835297148}}","[""dog"", ""raccoon"", ""fox"", ""wolf""]",easy,TRUE,
animals_animals_003,animals,data/packs/animals/images/animals_003.jpg,,raccoon,0.9955790716092534,fox,0.002177639691061593,wolf,0.0011909641010016145,"{""raccoon"": {""text"": ""raccoon"", ""raw_score"": -0.8024692535400391, ""probability"": 0.9955790716092534}, ""fox"": {""text"": ""fox"", ""raw_score"": -6.927552223205566, ""probability"": 0.002177639691061593}, ""wolf"": {""text"": ""wolf"", ""raw_score"": -7.531030654907227, ""probability"": 0.0011909641010016145}, ""bear"": {""text"": ""bear"", ""raw_score"": -8.309682846069336, ""probability"": 0.0005466814288845884}, ""cat"": {""text"": ""cat"", ""raw_score"": -8.800765991210938, ""probability"": 0.00033454891119952224}, ""dog"": {""text"": ""dog"", ""raw_score"": -9.471334457397461, ""probability"": 0.00017109425859910244}}","[""wolf"", ""fox"", ""raccoon"", ""bear""]",easy,FALSE,
animals_animals_004,animals,data/packs/animals/images/animals_004.jpg,fox,fox,0.9357317261837843,wolf,0.05588945423945055,dog,0.004197677553987323,"{""fox"": {""text"": ""fox"", ""raw_score"": -1.5544185638427734, ""probability"": 0.9357317261837843}, ""wolf"": {""text"": ""wolf"", ""raw_score"": -4.372371673583984, ""probability"": 0.05588945423945055}, ""dog"": {""text"": ""dog"", ""raw_score"": -6.961215972900391, ""probability"": 0.004197677553987323}, ""raccoon"": {""text"": ""raccoon"", ""raw_score"": -7.08244514465332, ""probability"": 0.0037184326068819273}, ""cat"": {""text"": ""cat"", ""raw_score"": -9.737859725952148, ""probability"": 0.00026129314420928655}, ""bear"": {""text"": ""bear"", ""raw_score"": -9.998128890991211, ""probability"": 0.00020141627168659317}}","[""dog"", ""wolf"", ""bear"", ""fox""]",easy,TRUE,
animals_animals_005,animals,data/packs/animals/images/animals_005.jpg,cat,fox,0.7717894536358392,cat,0.12683506030240937,dog,0.04188635770744184,"{""fox"": {""text"": ""fox"", ""raw_score"": -3.2941932678222656, ""probability"": 0.7717894536358392}, ""cat"": {""text"": ""cat"", ""raw_score"": -5.100017547607422, ""probability"": 0.12683506030240937}, ""dog"": {""text"": ""dog"", ""raw_score"": -6.207944869995117, ""probability"": 0.04188635770744184}, ""raccoon"": {""text"": ""raccoon"", ""raw_score"": -6.360360145568848, ""probability"": 0.035964951926002235}, ""wolf"": {""text"": ""wolf"", ""raw_score"": -7.129434585571289, ""probability"": 0.016667662527543706}, ""bear"": {""text"": ""bear"", ""raw_score"": -8.017705917358398, ""probability"": 0.006856513900763702}}","[""dog"", ""raccoon"", ""fox"", ""cat""]",easy,TRUE,
animals_animals_006,animals,data/packs/animals/images/animals_006.jpg,raccoon,raccoon,0.999046452310338,bear,0.00043927782810166424,fox,0.0003132346187505,"{""raccoon"": {""text"": ""raccoon"", ""raw_score"": 0.11751174926757812, ""probability"": 0.999046452310338}, ""bear"": {""text"": ""bear"", ""raw_score"": -7.611912727355957, ""probability"": 0.00043927782810166424}, ""fox"": {""text"": ""fox"", ""raw_score"": -7.950092315673828, ""probability"": 0.0003132346187505}, ""wolf"": {""text"": ""wolf"", ""raw_score"": -8.680861473083496, ""probability"": 0.00015083451866714913}, ""cat"": {""text"": ""cat"", ""raw_score"": -9.918886184692383, ""probability"": 4.3735434051343195e-05}, ""dog"": {""text"": ""dog"", ""raw_score"": -11.830596923828125, ""probability"": 6.465290091312085e-06}}","[""fox"", ""bear"", ""raccoon"", ""dog""]",easy,TRUE,
animals_animals_007,animals,data/packs/animals/images/animals_007.jpg,,bear,0.8790265987572821,raccoon,0.09973417862618224,wolf,0.010532014266890807,"{""bear"": {""text"": ""bear"", ""raw_score"": -2.561666488647461, ""probability"": 0.8790265987572821}, ""raccoon"": {""text"": ""raccoon"", ""raw_score"": -4.737973213195801, ""probability"": 0.09973417862618224}, ""wolf"": {""text"": ""wolf"", ""raw_score"": -6.986062049865723, ""probability"": 0.010532014266890807}, ""fox"": {""text"": ""fox"", ""raw_score"": -7.289833068847656, ""probability"": 0.007772940824580364}, ""cat"": {""text"": ""cat"", ""raw_score"": -8.918807983398438, ""probability"": 0.0015245109387496227}, ""dog"": {""text"": ""dog"", ""raw_score"": -8.997064590454102, ""probability"": 0.0014097565863148613}}","[""fox"", ""raccoon"", ""wolf"", ""bear""]",easy,FALSE,
animals_animals_008,animals,data/packs/animals/images/animals_008.jpg,cat,cat,0.9930476320123065,fox,0.005558710871637386,dog,0.0005030104069951743,"{""cat"": {""text"": ""cat"", ""raw_score"": -4.7555646896362305, ""probability"": 0.9930476320123065}, ""fox"": {""text"": ""fox"", ""raw_score"": -9.940977096557617, ""probability"": 0.005558710871637386}, ""dog"": {""text"": ""dog"", ""raw_score"": -12.343487739562988, ""probability"": 0.0005030104069951743}, ""raccoon"": {""text"": ""raccoon"", ""raw_score"": -12.56240177154541, ""probability"": 0.000404113923776162}, ""bear"": {""text"": ""bear"", ""raw_score"": -12.818798065185547, ""probability"": 0.000312717596014797}, ""wolf"": {""text"": ""wolf"", ""raw_score"": -13.406105995178223, ""probability"": 0.0001738151892699707}}","[""dog"", ""fox"", ""cat"", ""bear""]",easy,TRUE,
animals_animals_009,animals,data/packs/animals/images/animals_009.jpg,cat,cat,0.9108121394537461,fox,0.08445606842467328,wolf,0.0028646256200461537,"{""cat"": {""text"": ""cat"", ""raw_score"": -3.4095869064331055, ""probability"": 0.9108121394537461}, ""fox"": {""text"": ""fox"", ""raw_score"": -5.787692070007324, ""probability"": 0.08445606842467328}, ""wolf"": {""text"": ""wolf"", ""raw_score"": -9.171485900878906, ""probability"": 0.0028646256200461537}, ""dog"": {""text"": ""dog"", ""raw_score"": -9.902499198913574, ""probability"": 0.0013790907013999192}, ""raccoon"": {""text"": ""raccoon"", ""raw_score"": -11.613462448120117, ""probability"": 0.00024919018490914316}, ""bear"": {""text"": ""bear"", ""raw_score"": -11.655694007873535, ""probability"": 0.00023888561522548212}}","[""bear"", ""cat"", ""wolf"", ""fox""]",easy,TRUE,
animals_animals_010,animals,data/packs/animals/images/animals_010.jpg,,raccoon,0.997783267823694,fox,0.0016637048333265978,bear,0.0002862012347556125,"{""raccoon"": {""text"": ""raccoon"", ""raw_score"": -0.1323680877685547, ""probability"": 0.997783267823694}, ""fox"": {""text"": ""fox"", ""raw_score"": -6.528857231140137, ""probability"": 0.0016637048333265978}, ""bear"": {""text"": ""bear"", ""raw_score"": -8.28896427154541, ""probability"": 0.0002862012347556125}, ""wolf"": {""text"": ""wolf"", ""raw_score"": -8.627039909362793, ""probability"": 0.00020410193360973462}, ""cat"": {""text"": ""cat"", ""raw_score"": -10.279960632324219, ""probability"": 3.908343893610615e-05}, ""dog"": {""text"": ""dog"", ""raw_score"": -10.78268814086914, ""probability"": 2.3640735677886273e-05}}","[""fox"", ""dog"", ""raccoon"", ""bear""]",easy,FALSE,
animals_animals_011,animals,data/packs/animals/images/animals_011.jpg,dog,fox,0.9761396000911206,dog,0.019420981886191967,wolf,0.002404864378210671,"{""fox"": {""text"": ""fox"", ""raw_score"": -1.724349021911621, ""probability"": 0.9761396000911206}, ""dog"": {""text"": ""dog"", ""raw_score"": -5.641600608825684, ""probability"": 0.019420981886191967}, ""wolf"": {""text"": ""wolf"", ""raw_score"": -7.730461120605469, ""probability"": 0.002404864378210671}, ""raccoon"": {""text"": ""raccoon"", ""raw_score"": -8.904928207397461, ""probability"": 0.0007430636465037041}, ""cat"": {""text"": ""cat"", ""raw_score"": -8.905576705932617, ""probability"": 0.0007425819270314868}, ""bear"": {""text"": ""bear"", ""raw_score"": -9.207778930664062, ""probability"": 0.0005489080709416537}}","[""fox"", ""cat"", ""dog"", ""wolf""]",easy,TRUE,
animals_animals_012,animals,data/packs/animals/images/animals_012.jpg,,wolf,0.9772765638050838,dog,0.0156767455464642,fox,0.004292197331402991,"{""wolf"": {""text"": ""wolf"", ""raw_score"": -1.9515790939331055, ""probability"": 0.9772765638050838}, ""dog"": {""text"": ""dog"", ""raw_score"": -6.084170341491699, ""probability"": 0.0156767455464642}, ""fox"": {""text"": ""fox"", ""raw_score"": -7.379549980163574, ""probability"": 0.004292197331402991}, ""raccoon"": {""text"": ""raccoon"", ""raw_score"": -8.740211486816406, ""probability"": 0.001100910201566016}, ""bear"": {""text"": ""bear"", ""raw_score"": -8.748504638671875, ""probability"": 0.0010918179399493433}, ""cat"": {""text"": ""cat"", ""raw_score"": -9.413020133972168, ""probability"": 0.0005617651755337338}}","[""cat"", ""dog"", ""wolf"", ""fox""]",easy,FALSE,
animals_animals_013,animals,data/packs/animals/images/animals_013.jpg,dog,wolf,0.8754281756645218,fox,0.10316210524472873,bear,0.008246756404568198,"{""wolf"": {""text"": ""wolf"", ""raw_score"": -1.4846811294555664, ""probability"": 0.8754281756645218}, ""fox"": {""text"": ""fox"", ""raw_score"": -3.6230926513671875, ""probability"": 0.10316210524472873}, ""bear"": {""text"": ""bear"", ""raw_score"": -6.149574279785156, ""probability"": 0.008246756404568198}, ""dog"": {""text"": ""dog"", ""raw_score"": -6.5646772384643555, ""probability"": 0.005445104789439577}, ""raccoon"": {""text"": ""raccoon"", ""raw_score"": -6.589755058288574, ""probability"": 0.005310251414262093}, ""cat"": {""text"": ""cat"", ""raw_score"": -7.38076114654541, ""probability"": 0.0024076064824797815}}","[""raccoon"", ""wolf"", ""bear"", ""fox""]",easy,TRUE,
animals_animals_014,animals,data/packs/animals/images/animals_014.jpg,,cat,0.9452063917783854,fox,0.03022768525409605,raccoon,0.010413355603848599,"{""cat"": {""text"": ""cat"", ""raw_score"": -3.341912269592285, ""probability"": 0.9452063917783854}, ""fox"": {""text"": ""fox"", ""raw_score"": -6.784557342529297, ""probability"": 0.03022768525409605}, ""raccoon"": {""text"": ""raccoon"", ""raw_score"": -7.850226402282715, ""probability"": 0.010413355603848599}, ""dog"": {""text"": ""dog"", ""raw_score"": -8.07275676727295, ""probability"": 0.008335794311351558}, ""wolf"": {""text"": ""wolf"", ""raw_score"": -9.024383544921875, ""probability"": 0.003218553491287638}, ""bear"": {""text"": ""bear"", ""raw_score"": -9.238489151000977, ""probability"": 0.0025982195610306834}}","[""raccoon"", ""cat"", ""fox"", ""dog""]",easy,FALSE,
animals_animals_015,animals,data/packs/animals/images/animals_015.jpg,,bear,0.9977236575246904,raccoon,0.0007109661316799593,wolf,0.0006636761494640954,"{""bear"": {""text"": ""bear"", ""raw_score"": -1.7406082153320312, ""probability"": 0.9977236575246904}, ""raccoon"": {""text"": ""raccoon"", ""raw_score"": -8.987215042114258, ""probability"": 0.0007109661316799593}, ""wolf"": {""text"": ""wolf"", ""raw_score"": -9.056045532226562, ""probability"": 0.0006636761494640954}, ""fox"": {""text"": ""fox"", ""raw_score"": -9.072202682495117, ""probability"": 0.0006530391970073066}, ""dog"": {""text"": ""dog"", ""raw_score"": -10.615771293640137, ""probability"": 0.00013950054978639992}, ""cat"": {""text"": ""cat"", ""raw_score"": -10.861021041870117, ""probability"": 0.00010916044737185586}}","[""raccoon"", ""wolf"", ""cat"", ""bear""]",easy,FALSE,
animals_animals_016,animals,data/packs/animals/images/animals_016.jpg,,bear,0.9854404984964908,raccoon,0.009665415876563515,wolf,0.0029462591936249487,"{""bear"": {""text"": ""bear"", ""raw_score"": -1.9511327743530273, ""probability"": 0.9854404984964908}, ""raccoon"": {""text"": ""raccoon"", ""raw_score"": -6.575667381286621, ""probability"": 0.009665415876563515}, ""wolf"": {""text"": ""wolf"", ""raw_score"": -7.76368522644043, ""probability"": 0.0029462591936249487}, ""fox"": {""text"": ""fox"", ""raw_score"": -8.78775405883789, ""probability"": 0.0010580921874285645}, ""dog"": {""text"": ""dog"", ""raw_score"": -9.368316650390625, ""probability"": 0.0005920908883659234}, ""cat"": {""text"": ""cat"", ""raw_score"": -10.05608081817627, ""probability"": 0.00029764335752620536}}","[""raccoon"", ""fox"", ""bear"", ""wolf""]",easy,TRUE,
animals_animals_017,animals,data/packs/animals/images/animals_017.jpg,cat,fox,0.6765320825104395,wolf,0.1941693694888529,cat,0.11335470166834129,"{""fox"": {""text"": ""fox"", ""raw_score"": -3.3144893646240234, ""probability"": 0.6765320825104395}, ""wolf"": {""text"": ""wolf"", ""raw_score"": -4.562738418579102, ""probability"": 0.1941693694888529}, ""cat"": {""text"": ""cat"", ""raw_score"": -5.100947380065918, ""probability"": 0.11335470166834129}, ""raccoon"": {""text"": ""raccoon"", ""raw_score"": -7.725203514099121, ""probability"": 0.008217497491303384}, ""bear"": {""text"": ""bear"", ""raw_score"": -8.21949577331543, ""probability"": 0.0050126938342160065}, ""dog"": {""text"": ""dog"", ""raw_score"": -8.833172798156738, ""probability"": 0.0027136550068469294}}","[""fox"", ""bear"", ""cat"", ""wolf""]",easy,TRUE,
animals_animals_018,animals,data/packs/animals/images/animals_018.jpg,,fox,0.9602368293444992,wolf,0.02680743310138144,dog,0.009611291258800617,"{""fox"": {""text"": ""fox"", ""raw_score"": -4.788773536682129, ""probability"": 0.9602368293444992}, ""wolf"": {""text"": ""wolf"", ""raw_score"": -8.367274284362793, ""probability"": 0.02680743310138144}, ""dog"": {""text"": ""dog"", ""raw_score"": -9.393014907836914, ""probability"": 0.009611291258800617}, ""bear"": {""text"": ""bear"", ""raw_score"": -10.98868465423584, ""probability"": 0.0019489072555176237}, ""raccoon"": {""text"": ""raccoon"", ""raw_score"": -11.7562837600708, ""probability"": 0.0009045386248099864}, ""cat"": {""text"": ""cat"", ""raw_score"": -12.367263793945312, ""probability"": 0.0004910004149911212}}","[""dog"", ""fox"", ""raccoon"", ""wolf""]",easy,FALSE,
animals_animals_019,animals,data/packs/animals/images/animals_019.jpg,,wolf,0.9944847317330285,fox,0.0038897290974666374,bear,0.0006702181640178615,"{""wolf"": {""text"": ""wolf"", ""raw_score"": -1.615208625793457, ""probability"": 0.9944847317330285}, ""fox"": {""text"": ""fox"", ""raw_score"": -7.159093856811523, ""probability"": 0.0038897290974666374}, ""bear"": {""text"": ""bear"", ""raw_score"": -8.917585372924805, ""probability"": 0.0006702181640178615}, ""dog"": {""text"": ""dog"", ""raw_score"": -8.991205215454102, ""probability"": 0.0006226492974168613}, ""raccoon"": {""text"": ""raccoon"", ""raw_score"": -9.68841552734375, ""probability"": 0.0003100622621325097}, ""cat"": {""text"": ""cat"", ""raw_score"": -12.3068208694458, ""probability"": 2.2609445937642468e-05}}","[""wolf"", ""fox"", ""bear"", ""dog""]",easy,FALSE,
animals_animals_020,animals,data/packs/animals/images/animals_020.jpg,dog,fox,0.8215630329531979,dog,0.09710534765272653,wolf,0.06932358014579543,"{""fox"": {""text"": ""fox"", ""raw_score"": -2.7173843383789062, ""probability"": 0.8215630329531979}, ""dog"": {""text"": ""dog"", ""raw_score"": -4.85279655456543, ""probability"": 0.09710534765272653}, ""wolf"": {""text"": ""wolf"", ""raw_score"": -5.189807891845703, ""probability"": 0.06932358014579543}, ""bear"": {""text"": ""bear"", ""raw_score"": -7.068821907043457, ""probability"": 0.010588527407782823}, ""cat"": {""text"": ""cat"", ""raw_score"": -9.688421249389648, ""probability"": 0.0007711840273068984}, ""raccoon"": {""text"": ""raccoon"", ""raw_score"": -9.86195182800293, ""probability"": 0.0006483278131904101}}","[""fox"", ""raccoon"", ""wolf"", ""dog""]",easy,TRUE,
animals_animals_021,animals,data/packs/animals/images/animals_021.jpg,,bear,0.9882590903295249,wolf,0.005419107971707958,fox,0.0025300068437723038,"{""bear"": {""text"": ""bear"", ""raw_score"": -4.5208845138549805, ""probability"": 0.9882590903295249}, ""wolf"": {""text"": ""wolf"", ""raw_score"": -9.726898193359375, ""probability"": 0.005419107971707958}, ""fox"": {""text"": ""fox"", ""raw_score"": -10.488607406616211, ""probability"": 0.0025300068437723038}, ""dog"": {""text"": ""dog"", ""raw_score"": -10.785921096801758, ""probability"": 0.0018793168207840304}, ""raccoon"": {""text"": ""raccoon"", ""raw_score"": -10.95685863494873, ""probability"": 0.0015840276981601883}, ""cat"": {""text"": ""cat"", ""raw_score"": -12.53019905090332, ""probability"": 0.0003284503360507208}}","[""wolf"", ""fox"", ""dog"", ""bear""]",easy,FALSE,
animals_animals_022,animals,data/packs/animals/images/animals_022.jpg,,fox,0.7021352990808416,wolf,0.13735995571839002,cat,0.09629363483266559,"{""fox"": {""text"": ""fox"", ""raw_score"": -3.3944787979125977, ""probability"": 0.7021352990808416}, ""wolf"": {""text"": ""wolf"", ""raw_score"": -5.026000022888184, ""probability"": 0.13735995571839002}, ""cat"": {""text"": ""cat"", ""raw_score"": -5.381202697753906, ""probability"": 0.09629363483266559}, ""raccoon"": {""text"": ""raccoon"", ""raw_score"": -5.832619667053223, ""probability"": 0.061312592748852306}, ""dog"": {""text"": ""dog"", ""raw_score"": -9.44553279876709, ""probability"": 0.001653794125759176}, ""bear"": {""text"": ""bear"", ""raw_score"": -9.729691505432129, ""probability"": 0.0012447234934912484}}","[""bear"", ""cat"", ""wolf"", ""fox""]",easy,TRUE,
animals_animals_023,animals,data/packs/animals/images/animals_023.jpg,dog,cat,0.9410207374766965,fox,0.02285277445350525,dog,0.01580704098062549,"{""cat"": {""text"": ""cat"", ""raw_score"": -3.3819942474365234, ""probability"": 0.9410207374766965}, ""fox"": {""text"": ""fox"", ""raw_score"": -7.099886894226074, ""probability"": 0.02285277445350525}, ""dog"": {""text"": ""dog"", ""raw_score"": -7.468503952026367, ""probability"": 0.01580704098062549}, ""raccoon"": {""text"": ""raccoon"", ""raw_score"": -7.669869422912598, ""probability"": 0.012924051096495724}, ""wolf"": {""text"": ""wolf"", ""raw_score"": -8.398056030273438, ""probability"": 0.006239520860186628}, ""bear"": {""text"": ""bear"", ""raw_score"": -10.084101676940918, ""probability"": 0.0011558751324905055}}","[""fox"", ""cat"", ""bear"", ""dog""]",easy,TRUE,
