image_id,pack_name,image_path,true_label,ai_top1,ai_score_top1,ai_top2,ai_score_top2,ai_top3,ai_score_top3,all_scores_json,options_json,difficulty,approved,notes
illusions_abdullah-ahmad-QmBtuTBfcxE-unsplash,illusions,data/packs/illusions/images/abdullah-ahmad-QmBtuTBfcxE-unsplash.jpg,,object,0.820120446370553,human,0.17146205517812452,animal,0.006337387124328116,"{""object"": {""text"": ""object"", ""raw_score"": -5.864116668701172, ""probability"": 0.820120446370553}, ""human"": {""text"": ""human"", ""raw_score"": -7.429205894470215, ""probability"": 0.17146205517812452}, ""animal"": {""text"": ""animal"", ""raw_score"": -10.72710132598877, ""probability"": 0.006337387124328116}, ""food"": {""text"": ""food"", ""raw_score"": -11.841146469116211, ""probability"": 0.0020801113269942684}}","[""animal"", ""human"", ""food"", ""object""]",easy,TRUE,
illusions_ahmet-yuksek-rBrK74LuRn0-unsplash,illusions,data/packs/illusions/images/ahmet-yuksek-rBrK74LuRn0-unsplash.jpg,,animal,0.9881460996508473,object,0.006677063081850778,human,0.0031125376930370963,"{""animal"": {""text"": ""animal"", ""raw_score"": -5.948236465454102, ""probability"": 0.9881460996508473}, ""object"": {""text"": ""object"", ""raw_score"": -10.945388793945312, ""probability"": 0.006677063081850778}, ""human"": {""text"": ""human"", ""raw_score"": -11.70862865447998, ""probability"": 0.0031125376930370963}, ""food"": {""text"": ""food"", ""raw_score"": -12.11927604675293, ""probability"": 0.0020642995742647234}}","[""food"", ""human"", ""animal"", ""object""]",easy,FALSE,
illusions_aleksey-markin-INwPNG8W73Y-unsplash,illusions,data/packs/illusions/images/aleksey-markin-INwPNG8W73Y-unsplash.jpg,object,human,0.5365677001360152,object,0.46267953675016615,food,0.0006232154805396676,"{""human"": {""text"": ""human"", ""raw_score"": -7.248941421508789, ""probability"": 0.5365677001360152}, ""object"": {""text"": ""object"", ""raw_score"": -7.397099494934082, ""probability"": 0.46267953675016615}, ""food"": {""text"": ""food"", ""raw_score"": -14.006997108459473, ""probability"": 0.0006232154805396676}, ""animal"": {""text"": ""animal"", ""raw_score"": -15.577840805053711, ""probability"": 0.00012954763327908085}}","[""object"", ""animal"", ""food"", ""human""]",hard,TRUE,
illusions_alex-quezada-94zzNowXWsY-unsplash,illusions,data/packs/illusions/images/alex-quezada-94zzNowXWsY-unsplash.jpg,object,human,0.6159998618376458,object,0.38252970468423736,animal,0.0013477923959432788,"{""human"": {""text"": ""human"", ""raw_score"": -6.1011505126953125, ""probability"": 0.6159998618376458}, ""object"": {""text"": ""object"", ""raw_score"": -6.5775909423828125, ""probability"": 0.38252970468423736}, ""animal"": {""text"": ""animal"", ""raw_score"": -12.225929260253906, ""probability"": 0.0013477923959432788}, ""food"": {""text"": ""food"", ""raw_score"": -14.62289047241211, ""probability"": 0.0001226410821734801}}","[""object"", ""animal"", ""human"", ""food""]",medium,TRUE,
illusions_alexey-demidov-viXmnxT3Yvs-unsplash,illusions,data/packs/illusions/images/alexey-demidov-viXmnxT3Yvs-unsplash.jpg,object,human,0.7252295716420591,object,0.2724888882658657,animal,0.001779003099409285,"{""human"": {""text"": ""human"", ""raw_score"": -7.4595184326171875, ""probability"": 0.7252295716420591}, ""object"": {""text"": ""object"", ""raw_score"": -8.438408851623535, ""probability"": 0.2724888882658657}, ""animal"": {""text"": ""animal"", ""raw_score"": -13.469953536987305, ""probability"": 0.001779003099409285}, ""food"": {""text"": ""food"", ""raw_score"": -14.734092712402344, ""probability"": 0.0005025369926659193}}","[""object"", ""animal"", ""food"", ""human""]",easy,TRUE,
illusions_anton-sobotyak-aKfUfkdifqU-unsplash,illusions,data/packs/illusions/images/anton-sobotyak-aKfUfkdifqU-unsplash.jpg,,animal,0.9982184308373929,object,0.0009912613810655745,human,0.0006341368651949907,"{""animal"": {""text"": ""animal"", ""raw_score"": -4.754298210144043, ""probability"": 0.9982184308373929}, ""object"": {""text"": ""object"", ""raw_score"": -11.669047355651855, ""probability"": 0.0009912613810655745}, ""human"": {""text"": ""human"", ""raw_score"": -12.115760803222656, ""probability"": 0.0006341368651949907}, ""food"": {""text"": ""food"", ""raw_score"": -13.517074584960938, ""probability"": 0.00015617091634628977}}","[""object"", ""food"", ""human"", ""animal""]",easy,FALSE,
illusions_austin-V8I-NrXZcXw-unsplash,illusions,data/packs/illusions/images/austin-V8I-NrXZcXw-unsplash.jpg,,object,0.9347734453051161,human,0.044106307290433334,animal,0.01831199582321808,"{""object"": {""text"": ""object"", ""raw_score"": -8.667113304138184, ""probability"": 0.9347734453051161}, ""human"": {""text"": ""human"", ""raw_score"": -11.72081470489502, ""probability"": 0.044106307290433334}, ""animal"": {""text"": ""animal"", ""raw_score"": -12.599861145019531, ""probability"": 0.01831199582321808}, ""food"": {""text"": ""food"", ""raw_score"": -14.474855422973633, ""probability"": 0.002808251581232546}}","[""animal"", ""human"", ""object"", ""food""]",easy,FALSE,
illusions_ben-collins-8RFzgQez6_I-unsplash,illusions,data/packs/illusions/images/ben-collins-8RFzgQez6_I-unsplash.jpg,,animal,0.8139308585304037,human,0.14062236511809134,object,0.04286687106411758,"{""animal"": {""text"": ""animal"", ""raw_score"": -8.151381492614746, ""probability"": 0.8139308585304037}, ""human"": {""text"": ""human"", ""raw_score"": -9.90717887878418, ""probability"": 0.14062236511809134}, ""object"": {""text"": ""object"", ""raw_score"": -11.095157623291016, ""probability"": 0.04286687106411758}, ""food"": {""text"": ""food"", ""raw_score"": -13.90550422668457, ""probability"": 0.002579905287387435}}","[""human"", ""food"", ""animal"", ""object""]",easy,FALSE,
illusions_bence-holdinger-9Y-FJdHbtSY-unsplash,illusions,data/packs/illusions/images/bence-holdinger-9Y-FJdHbtSY-unsplash.jpg,object,human,0.5409279640631329,object,0.444131895899912,animal,0.011811268285279205,"{""human"": {""text"": ""human"", ""raw_score"": -10.325349807739258, ""probability"": 0.5409279640631329}, ""object"": {""text"": ""object"", ""raw_score"": -10.522514343261719, ""probability"": 0.444131895899912}, ""animal"": {""text"": ""animal"", ""raw_score"": -14.149581909179688, ""probability"": 0.011811268285279205}, ""food"": {""text"": ""food"", ""raw_score"": -15.4779634475708, ""probability"": 0.0031288717516757447}}","[""human"", ""animal"", ""object"", ""food""]",hard,TRUE,
illusions_bhagyasri-sala-reUb-TsUMvQ-unsplash,illusions,data/packs/illusions/images/bhagyasri-sala-reUb-TsUMvQ-unsplash.jpg,,object,0.8159998621032234,human,0.1682612217955365,animal,0.014475167935029227,"{""object"": {""text"": ""object"", ""raw_score"": -8.839309692382812, ""probability"": 0.8159998621032234}, ""human"": {""text"": ""human"", ""raw_score"": -10.418206214904785, ""probability"": 0.1682612217955365}, ""animal"": {""text"": ""animal"", ""raw_score"": -12.871289253234863, ""probability"": 0.014475167935029227}, ""food"": {""text"": ""food"", ""raw_score"": -15.30964183807373, ""probability"": 0.0012637481662109646}}","[""animal"", ""food"", ""object"", ""human""]",easy,FALSE,
illusions_bruno-guerrero-hpKHA5q2Jws-unsplash,illusions,data/packs/illusions/images/bruno-guerrero-hpKHA5q2Jws-unsplash.jpg,,animal,0.9276480299534243,human,0.04644481140057779,object,0.02497012894341487,"{""animal"": {""text"": ""animal"", ""raw_score"": -6.3308820724487305, ""probability"": 0.9276480299534243}, ""human"": {""text"": ""human"", ""raw_score"": -9.32526969909668, ""probability"": 0.04644481140057779}, ""object"": {""text"": ""object"", ""raw_score"": -9.945854187011719, ""probability"": 0.02497012894341487}, ""food"": {""text"": ""food"", ""raw_score"": -13.228574752807617, ""probability"": 0.0009370297025832038}}","[""object"", ""human"", ""food"", ""animal""]",easy,FALSE,
illusions_cengiz-sakarya-eNZb37jiC7E-unsplash,illusions,data/packs/illusions/images/cengiz-sakarya-eNZb37jiC7E-unsplash.jpg,object,human,0.951908370173005,object,0.047404434633271035,animal,0.000554178014629075,"{""human"": {""text"": ""human"", ""raw_score"": -5.462450981140137, ""probability"": 0.951908370173005}, ""object"": {""text"": ""object"", ""raw_score"": -8.462203979492188, ""probability"": 0.047404434633271035}, ""animal"": {""text"": ""animal"", ""raw_score"": -12.911189079284668, ""probability"": 0.000554178014629075}, ""food"": {""text"": ""food"", ""raw_score"": -14.338196754455566, ""probability"": 0.00013301717909488593}}","[""food"", ""animal"", ""object"", ""human""]",easy,TRUE,
illusions_christy-jacob-e-Prq5SmTko-unsplash,illusions,data/packs/illusions/images/christy-jacob-e-Prq5SmTko-unsplash.jpg,food,animal,0.6235453561350652,food,0.3287495557692484,object,0.03925698299926407,"{""animal"": {""text"": ""animal"", ""raw_score"": -8.57844066619873, ""probability"": 0.6235453561350652}, ""food"": {""text"": ""food"", ""raw_score"": -9.218565940856934, ""probability"": 0.3287495557692484}, ""object"": {""text"": ""object"", ""raw_score"": -11.343732833862305, ""probability"": 0.03925698299926407}, ""human"": {""text"": ""human"", ""raw_score"": -12.87992000579834, ""probability"": 0.008448105096422173}}","[""human"", ""food"", ""animal"", ""object""]",medium,TRUE,
illusions_clovis-wood-swE6o7KVKKQ-unsplash,illusions,data/packs/illusions/images/clovis-wood-swE6o7KVKKQ-unsplash.jpg,,animal,0.9327288648562114,human,0.06299844790692166,object,0.0037925699127457327,"{""animal"": {""text"": ""animal"", ""raw_score"": -6.2501726150512695, ""probability"": 0.9327288648562114}, ""human"": {""text"": ""human"", ""raw_score"": -8.94517707824707, ""probability"": 0.06299844790692166}, ""object"": {""text"": ""object"", ""raw_score"": -11.755243301391602, ""probability"": 0.0037925699127457327}, ""food"": {""text"": ""food"", ""raw_score"": -13.822011947631836, ""probability"": 0.0004801173241211533}}","[""object"", ""food"", ""human"", ""animal""]",easy,FALSE,
